class_name,cluster
MavenWrapperDownloader,-1
org.mybatis.jpetstore.ScreenTransitionIT,-1
org.mybatis.jpetstore.domain.Account,-1
org.mybatis.jpetstore.domain.Cart,1
org.mybatis.jpetstore.domain.CartItem,1
org.mybatis.jpetstore.domain.Category,-1
org.mybatis.jpetstore.domain.Item,-1
org.mybatis.jpetstore.domain.LineItem,-1
org.mybatis.jpetstore.domain.Order,-1
org.mybatis.jpetstore.domain.Product,-1
org.mybatis.jpetstore.domain.Sequence,-1
org.mybatis.jpetstore.mapper.AccountMapper,-1
org.mybatis.jpetstore.mapper.CategoryMapper,0
org.mybatis.jpetstore.mapper.ItemMapper,0
org.mybatis.jpetstore.mapper.LineItemMapper,0
org.mybatis.jpetstore.mapper.MapperTestContext,-1
org.mybatis.jpetstore.mapper.OrderMapper,0
org.mybatis.jpetstore.mapper.ProductMapper,0
org.mybatis.jpetstore.mapper.SequenceMapper,0
org.mybatis.jpetstore.service.AccountService,-1
org.mybatis.jpetstore.service.CatalogService,0
org.mybatis.jpetstore.service.OrderService,1
org.mybatis.jpetstore.web.actions.AbstractActionBean,0
org.mybatis.jpetstore.web.actions.AccountActionBean,0
org.mybatis.jpetstore.web.actions.CartActionBean,1
org.mybatis.jpetstore.web.actions.CatalogActionBean,0
org.mybatis.jpetstore.web.actions.OrderActionBean,-1
